Date,Brand,Country,Ad_Spend (€),Impressions,Clicks,Conversions,Revenue (€),ROI,CTR,CPC (€),Conversion_Rate,Ad_Frequency,Avg_Cart_Value (€),Return_Rate,Customer_Satisfaction,Sentiment_Score,Tweet_Mentions,Sentiment_Trend,% Positive Tweets,% Negative Tweets,Target_Age,Target_Gender,Target_Occupation,Target_Income,Ad_Channel,Ad_Type
2023-01-31,Apple,Japon,7422769,98538789,4496350,235687,11046534.81,1.49,0.0456,1.65,0.0524,75.78,46.87,0.0909,4.67,0.17,20410,0.14,30.5,69.5,35-44,Male,Self-employed,Low,Digital,Video
2023-01-31,McDonald's,USA,5943742,99270855,8834391,1339243,420688788.52,70.78,0.089,0.67,0.1516,73.73,314.12,0.1403,3.47,-0.67,24206,-0.52,8.5,91.5,65+,Female,Unemployed,High,Digital,Sponsored Post
2023-01-31,McDonald's,France,2680896,45067517,688139,184450,79444648.23,29.63,0.0153,3.9,0.268,23.52,430.71,0.0459,4.84,-0.3,30831,-0.41,29.1,70.9,45-54,Female,Self-employed,Low,Print,Sponsored Post
2023-01-31,McDonald's,Allemagne,8556409,94079220,9239446,1700556,799646240.77,93.46,0.0982,0.93,0.1841,92.46,470.23,0.134,3.52,0.16,35795,-0.02,46.3,53.7,35-44,Non-binary,Self-employed,Middle,Outdoor,Search Ad
2023-01-31,McDonald's,UK,1950214,21019272,1256445,142833,51035085.61,26.17,0.0598,1.55,0.1137,327.47,357.3,0.0876,4.61,0.37,98248,0.46,41.0,59.0,45-54,Male,Self-employed,High,Print,Video
2023-01-31,McDonald's,Canada,5048571,63646514,4350546,572295,201237582.88,39.86,0.0684,1.16,0.1315,13.54,351.63,0.0365,3.84,0.88,89777,0.98,55.2,44.8,55-64,Female,Unemployed,High,TV,Sponsored Post
2023-01-31,McDonald's,Espagne,4823613,39325663,3132174,631651,106055582.09,21.99,0.0796,1.54,0.2017,10.47,167.9,0.0775,3.43,-0.05,97463,-0.18,25.8,74.2,55-64,Non-binary,Retired,Middle,TV,Banner
2023-01-31,McDonald's,Italie,5217974,43672407,1044527,58604,7617013.03,1.46,0.0239,5.0,0.0561,10.82,129.97,0.0995,4.54,-0.09,83544,-0.06,39.1,60.9,45-54,Female,Unemployed,Low,Digital,Video
2023-01-31,McDonald's,Brésil,1798238,29987967,773386,194141,68142989.27,37.89,0.0258,2.33,0.251,7.6,351.0,0.0265,3.5,0.7,60829,0.55,62.2,37.8,55-64,Non-binary,Retired,Middle,Social Media,Search Ad
2023-01-31,McDonald's,Australie,8478772,96667423,8811351,1422842,125192219.03,14.77,0.0912,0.96,0.1615,23.98,87.99,0.0785,4.5,0.68,37347,0.79,63.9,36.1,65+,Male,Self-employed,Middle,TV,Sponsored Post
2023-01-31,McDonald's,Japon,3944149,35796018,1266191,234293,18228812.38,4.62,0.0354,3.11,0.185,17.99,77.8,0.0698,3.31,-0.57,55377,-0.61,16.6,83.4,45-54,Male,Employee,Middle,Social Media,Search Ad
2023-01-31,Coca-Cola,USA,337691,6028115,468574,67987,876301.78,2.59,0.0777,0.72,0.1451,2.01,12.89,0.0588,3.78,0.78,55921,0.8,77.2,22.799999999999997,55-64,Male,Unemployed,Low,Print,Email
2023-01-31,Coca-Cola,France,8157720,44340245,1637587,359917,74904384.28,9.18,0.0369,4.98,0.2198,30.91,208.12,0.1293,4.84,0.96,71008,0.77,68.3,31.700000000000003,55-64,Non-binary,Student,Low,Social Media,Banner
2023-01-31,Coca-Cola,Allemagne,7756014,59922463,1780586,234749,54650269.41,7.05,0.0297,4.36,0.1318,20.8,232.8,0.119,3.76,0.5,56255,0.4,40.6,59.4,18-24,Non-binary,Retired,Low,Print,Banner
2023-01-31,Coca-Cola,UK,1161225,19413935,1299116,309914,147305613.33,126.85,0.0669,0.89,0.2386,11.27,475.31,0.1291,4.24,-0.52,63070,-0.45,18.8,81.2,25-34,Female,Self-employed,Middle,Digital,Search Ad
2023-01-31,Coca-Cola,Canada,1931542,32192775,661811,84552,24820942.96,12.85,0.0206,2.92,0.1278,12.07,293.56,0.0949,4.82,-0.25,94718,-0.37,29.9,70.1,65+,Male,Student,High,Print,Search Ad
2023-01-31,Coca-Cola,Espagne,2040966,34580920,2032099,122469,33194655.67,16.26,0.0588,1.0,0.0603,10.95,271.05,0.029,4.3,-0.97,56057,-0.84,0.8,99.2,35-44,Non-binary,Unemployed,High,Digital,Email
2023-01-31,Coca-Cola,Italie,2965087,47461938,4590518,539480,219038601.18,73.87,0.0967,0.65,0.1175,10.4,406.02,0.1207,3.93,0.65,78656,0.56,76.4,23.599999999999994,18-24,Female,Unemployed,Low,Social Media,Search Ad
2023-01-31,Coca-Cola,Brésil,6368385,63976472,3324161,436307,108596807.99,17.05,0.052,1.92,0.1313,21.14,248.9,0.1237,3.68,0.76,92905,0.91,68.5,31.5,55-64,Male,Student,Low,Social Media,Email
2023-01-31,Coca-Cola,Australie,9324311,152662000,10779141,2279526,571027038.02,61.24,0.0706,0.87,0.2115,784.31,250.5,0.0321,3.44,0.38,41135,0.45,47.2,52.8,55-64,Non-binary,Self-employed,Middle,Outdoor,Sponsored Post
2023-01-31,Coca-Cola,Japon,5912401,91895408,2824594,318758,22033001.82,3.73,0.0307,2.09,0.1129,55.18,69.12,0.061,4.49,0.9,91461,0.77,57.8,42.2,45-54,Female,Retired,High,Outdoor,Sponsored Post
2023-01-31,Samsung,USA,1696548,29671649,983419,137895,21802793.3,12.85,0.0331,1.73,0.1402,6.55,158.11,0.0365,3.09,-0.89,39290,-0.81,3.1,96.9,45-54,Male,Student,High,Print,Email
2023-01-31,Samsung,France,8041491,93337843,2101459,132064,62218377.07,7.74,0.0225,3.83,0.0628,23.0,471.12,0.0348,3.13,-0.02,76631,0.03,25.8,74.2,25-34,Non-binary,Self-employed,Low,Digital,Video
2023-01-31,Samsung,Allemagne,9372911,154340460,9661740,2393070,288572420.63,30.79,0.0626,0.97,0.2477,34.81,120.59,0.0694,4.82,-0.41,78139,-0.21,19.3,80.7,55-64,Male,Retired,High,TV,Banner
2023-01-31,Samsung,UK,3550415,31846128,404853,44520,12486875.45,3.52,0.0127,8.77,0.11,23.36,280.48,0.0203,3.9,0.19,39175,0.0,38.3,61.7,35-44,Non-binary,Unemployed,Low,Digital,Sponsored Post
2023-01-31,Samsung,Canada,9905027,147760673,13844953,2163755,599004354.13,60.47,0.0937,0.72,0.1563,113.68,276.84,0.1381,4.65,-0.86,22747,-0.74,5.6,94.4,55-64,Female,Unemployed,Low,Social Media,Sponsored Post
2023-01-31,Samsung,Espagne,6762972,129444255,6801629,1179734,58298362.18,8.62,0.0525,0.99,0.1734,336.76,49.42,0.1356,4.47,0.21,4390,0.05,59.3,40.7,55-64,Non-binary,Student,High,Print,Search Ad
2023-01-31,Samsung,Italie,684975,11265533,243821,43824,9934720.67,14.5,0.0216,2.81,0.1797,4.73,226.69,0.0436,4.17,0.27,65451,0.46,46.7,53.3,45-54,Female,Self-employed,High,TV,Banner
2023-01-31,Samsung,Brésil,5543187,61943320,3225361,695535,143434525.83,25.88,0.0521,1.72,0.2156,13.28,206.22,0.0248,3.18,-0.5,16194,-0.31,17.6,82.4,55-64,Male,Retired,Middle,Social Media,Video
2023-01-31,Samsung,Australie,3157112,40337128,2587635,451861,102391824.21,32.43,0.0642,1.22,0.1746,83.52,226.6,0.0465,4.1,0.86,58424,1.01,69.0,31.0,18-24,Non-binary,Retired,Low,Digital,Sponsored Post
2023-01-31,Samsung,Japon,9251545,48155373,2107236,223736,94481283.09,10.21,0.0438,4.39,0.1062,48.07,422.29,0.08,3.23,0.66,66323,0.83,53.6,46.4,65+,Female,Unemployed,Middle,Social Media,Banner
2023-01-31,Tesla,USA,7673605,101820881,4219525,1183437,306555422.43,39.95,0.0414,1.82,0.2805,85.2,259.04,0.1323,3.55,0.58,55387,0.52,70.6,29.400000000000006,35-44,Male,Self-employed,High,Print,Search Ad
2023-01-31,Tesla,France,9739499,194629619,10026506,873798,239337352.66,24.57,0.0515,0.97,0.0871,66.09,273.9,0.0632,4.53,-0.25,43176,-0.1,37.1,62.9,25-34,Non-binary,Unemployed,Low,Social Media,Video
2023-01-31,Tesla,Allemagne,5348112,86482058,6226418,1574363,313579548.62,58.63,0.072,0.86,0.2529,65.22,199.18,0.0844,3.07,0.0,78356,-0.07,27.5,72.5,45-54,Male,Retired,Middle,TV,Banner
2023-01-31,Tesla,UK,6888299,124430195,12087882,830522,326351813.1,47.38,0.0971,0.57,0.0687,54.74,392.95,0.064,4.39,0.3,44065,0.44,60.4,39.6,45-54,Female,Unemployed,High,TV,Search Ad
2023-01-31,Tesla,Canada,1157909,9867183,690880,84180,10225212.93,8.83,0.07,1.68,0.1218,12.21,121.47,0.0764,3.2,0.27,14173,0.25,53.8,46.2,18-24,Male,Self-employed,Low,Print,Sponsored Post
2023-01-31,Tesla,Espagne,6298789,72186023,2035556,311466,107170042.22,17.01,0.0282,3.09,0.153,46.26,344.08,0.0421,3.16,0.74,82226,0.81,65.1,34.900000000000006,55-64,Male,Employee,Middle,Print,Email
2023-01-31,Tesla,Italie,4293671,64416274,5822993,968441,146176070.05,34.04,0.0904,0.74,0.1663,13.9,150.94,0.0405,3.88,-0.31,78014,-0.39,33.8,66.2,65+,Female,Unemployed,Middle,Digital,Email
2023-01-31,Tesla,Brésil,8116886,53569816,2208662,308638,47831942.62,5.89,0.0412,3.68,0.1397,21.2,154.98,0.0229,4.66,-0.21,2061,-0.18,33.3,66.7,65+,Male,Retired,High,Social Media,Sponsored Post
2023-01-31,Tesla,Australie,3870745,54600632,2100513,439331,138054132.36,35.67,0.0385,1.84,0.2092,45.6,314.24,0.1017,4.81,0.29,41492,0.41,33.3,66.7,35-44,Non-binary,Employee,Low,Print,Sponsored Post
2023-01-31,Tesla,Japon,6980985,53297035,935639,172954,84061155.23,12.04,0.0176,7.46,0.1849,11.84,486.03,0.0852,3.55,-0.67,64156,-0.48,10.7,89.3,35-44,Male,Unemployed,Low,Digital,Banner
2023-01-31,Amazon,USA,6677458,130270836,10608713,1500536,596364395.04,89.31,0.0814,0.63,0.1414,781.2,397.43,0.0544,3.25,-0.26,99174,-0.19,29.3,70.7,65+,Female,Student,High,Digital,Email
2023-01-31,Amazon,France,429843,6143833,581213,76721,23702223.45,55.14,0.0946,0.74,0.132,10.59,308.94,0.1026,3.93,0.4,86097,0.36,39.9,60.1,18-24,Female,Unemployed,Low,TV,Banner
2023-01-31,Amazon,Allemagne,9028535,63515389,3054846,664800,248727516.63,27.55,0.0481,2.96,0.2176,13.86,374.14,0.0745,4.48,-0.69,55379,-0.63,14.2,85.8,55-64,Female,Self-employed,Low,Print,Banner
2023-01-31,Amazon,UK,7448733,86929975,2384550,335438,164584323.53,22.1,0.0274,3.12,0.1407,27.76,490.65,0.0908,4.96,-0.28,53184,-0.37,35.4,64.6,45-54,Male,Employee,High,Outdoor,Video
2023-01-31,Amazon,Canada,858566,14425556,405921,33074,9480686.37,11.04,0.0281,2.12,0.0815,23.06,286.64,0.1279,4.11,0.17,31539,0.1,33.6,66.4,55-64,Male,Self-employed,Low,Digital,Search Ad
2023-01-31,Amazon,Espagne,4215279,71565773,1105190,294657,21976575.17,5.21,0.0154,3.81,0.2666,23.42,74.58,0.1227,3.48,-0.35,23838,-0.44,18.3,81.7,45-54,Non-binary,Student,High,TV,Email
2023-01-31,Amazon,Italie,7530810,125540527,6748758,521432,133946130.71,17.79,0.0538,1.12,0.0773,303.41,256.88,0.1145,4.82,0.32,40535,0.3,64.8,35.2,18-24,Female,Unemployed,Middle,TV,Email
2023-01-31,Amazon,Brésil,7451741,45473211,576377,116471,4913249.92,0.66,0.0127,12.93,0.2021,19.29,42.18,0.1012,4.17,0.42,50925,0.62,54.3,45.7,45-54,Non-binary,Retired,Middle,TV,Video
2023-01-31,Amazon,Australie,9259870,146422608,3723115,606453,73964201.64,7.99,0.0254,2.49,0.1629,50.61,121.96,0.1276,3.8,0.46,41966,0.43,60.8,39.2,35-44,Male,Unemployed,Low,TV,Video
2023-01-31,Amazon,Japon,1574141,18068223,1368414,195904,14449244.8,9.18,0.0757,1.15,0.1432,32.66,73.76,0.0962,4.12,-0.34,17021,-0.38,30.9,69.1,45-54,Non-binary,Student,Middle,Outdoor,Sponsored Post
2023-01-31,Google,USA,5909644,38731856,2060697,182747,45005829.35,7.62,0.0532,2.87,0.0887,40.44,246.27,0.0655,4.11,-0.77,37512,-0.74,10.4,89.6,55-64,Non-binary,Retired,High,Outdoor,Video
2023-01-31,Google,France,4497028,24438188,756623,182045,84023634.95,18.68,0.031,5.94,0.2406,8.16,461.55,0.0208,4.74,0.13,53531,-0.04,49.2,50.8,18-24,Male,Retired,Low,Social Media,Email
2023-01-31,Google,Allemagne,7620913,77073644,3094895,713060,278556818.83,36.55,0.0402,2.46,0.2304,16.02,390.65,0.0975,4.77,-0.69,99885,-0.64,13.0,87.0,35-44,Female,Unemployed,Middle,Outdoor,Email
2023-01-31,Google,UK,6958850,63308156,4856976,381051,84081841.66,12.08,0.0767,1.43,0.0785,26.1,220.66,0.1082,4.19,0.05,41425,-0.13,36.6,63.4,55-64,Male,Student,Low,Print,Banner
2023-01-31,Google,Canada,2312417,38067964,1237112,98964,25109075.05,10.86,0.0325,1.87,0.08,10.39,253.72,0.0428,3.76,0.41,66570,0.43,58.8,41.2,35-44,Male,Unemployed,High,TV,Email
2023-01-31,Google,Espagne,324430,3859521,47846,6137,1352286.07,4.17,0.0124,6.78,0.1283,1.12,220.35,0.1122,3.84,-0.77,3733,-0.58,6.7,93.3,55-64,Female,Self-employed,Low,Social Media,Video
2023-01-31,Google,Italie,4092173,47203820,2031781,141537,61789179.0,15.1,0.043,2.01,0.0697,16.29,436.56,0.0488,4.56,-0.85,83998,-1.0,5.7,94.3,35-44,Female,Employee,Low,TV,Banner
2023-01-31,Google,Brésil,4304434,34259321,2131885,511767,169497041.28,39.38,0.0622,2.02,0.2401,22.3,331.2,0.1437,4.26,-0.07,74889,0.03,33.7,66.3,55-64,Non-binary,Retired,Middle,Print,Banner
2023-01-31,Google,Australie,7387995,44507453,2092284,263010,38028772.71,5.15,0.047,3.53,0.1257,85.39,144.59,0.0658,3.15,-0.08,5929,-0.26,42.1,57.9,18-24,Non-binary,Student,High,Outdoor,Search Ad
2023-01-31,Google,Japon,6460545,77143267,4448085,1102922,495189711.68,76.65,0.0577,1.45,0.248,20.18,448.98,0.1382,4.14,-0.62,80299,-0.63,10.9,89.1,18-24,Female,Student,Middle,TV,Search Ad
2023-01-31,Facebook,USA,2905058,16230942,1172264,349037,93121016.27,32.05,0.0722,2.48,0.2977,11.75,266.79,0.0673,4.84,-0.23,45350,-0.16,20.3,79.7,65+,Non-binary,Self-employed,Low,Print,Video
2023-01-31,Facebook,France,9371069,142212439,4549939,1050733,348545388.27,37.19,0.032,2.06,0.2309,108.44,331.72,0.0633,4.17,-0.72,46851,-0.8,11.6,88.4,65+,Female,Employee,High,TV,Sponsored Post
2023-01-31,Facebook,Allemagne,9387156,99974991,8018782,2031127,687246162.75,73.21,0.0802,1.17,0.2533,22.39,338.36,0.0321,4.34,0.02,3389,-0.03,30.1,69.9,25-34,Female,Unemployed,Low,Digital,Banner
2023-01-31,Facebook,UK,2609548,16068229,1369345,103091,39971507.27,15.32,0.0852,1.91,0.0753,3.6,387.73,0.0249,3.67,0.53,18176,0.57,44.2,55.8,25-34,Non-binary,Retired,Low,Social Media,Video
2023-01-31,Facebook,Canada,6903063,72237042,5299355,1549516,479097719.49,69.4,0.0734,1.3,0.2924,18.93,309.19,0.0504,3.48,0.93,62474,1.09,57.6,42.4,65+,Non-binary,Unemployed,Middle,Print,Email
2023-01-31,Facebook,Espagne,8447374,109071621,10557639,2683992,1080621160.65,127.92,0.0968,0.8,0.2542,90.07,402.62,0.1335,3.1,-0.04,49655,-0.02,26.5,73.5,55-64,Male,Self-employed,Low,Digital,Sponsored Post
2023-01-31,Facebook,Italie,7548325,140244807,2664388,424618,201159858.0,26.65,0.019,2.83,0.1594,73.33,473.74,0.1262,4.77,0.86,55381,0.68,69.8,30.200000000000003,25-34,Female,Student,Middle,Digital,Video
2023-01-31,Facebook,Brésil,5356644,101574764,8605591,1828603,727375572.57,135.79,0.0847,0.62,0.2125,84.35,397.78,0.025,4.83,-0.06,19191,0.04,34.5,65.5,55-64,Male,Student,Low,Print,Banner
2023-01-31,Facebook,Australie,2518522,33325243,2468977,449212,28965946.81,11.5,0.0741,1.02,0.1819,13.51,64.48,0.0509,3.24,-0.52,84748,-0.4,17.5,82.5,18-24,Female,Retired,High,TV,Search Ad
2023-01-31,Facebook,Japon,9657695,83336945,1553383,244362,76059434.65,7.88,0.0186,6.22,0.1573,40.3,311.26,0.0942,3.37,0.34,69614,0.53,35.8,64.2,55-64,Non-binary,Retired,High,Outdoor,Video
2023-01-31,Microsoft,USA,6560726,118748954,1084863,159171,30707071.37,4.68,0.0091,6.05,0.1467,637.58,192.92,0.0664,3.14,-0.52,87127,-0.47,21.3,78.7,65+,Female,Employee,Low,Print,Search Ad
2023-01-31,Microsoft,France,5689880,97880917,2117503,518334,123190081.59,21.65,0.0216,2.69,0.2448,24.08,237.67,0.1021,4.62,-0.87,60988,-1.06,3.9,96.1,25-34,Male,Self-employed,Middle,Outdoor,Email
2023-01-31,Microsoft,Allemagne,9120543,110367659,935804,198133,29758501.56,3.26,0.0085,9.75,0.2117,244.71,150.19,0.1326,3.66,-0.75,49237,-0.78,8.8,91.2,45-54,Female,Self-employed,Low,Social Media,Email
2023-01-31,Microsoft,UK,6173058,116452621,6327011,1583568,580013519.49,93.96,0.0543,0.98,0.2503,163.54,366.27,0.076,4.99,-0.64,39504,-0.71,9.7,90.3,65+,Female,Self-employed,Middle,Outdoor,Email
2023-01-31,Microsoft,Canada,2805835,43059668,1653360,100175,43708227.3,15.58,0.0384,1.7,0.0606,14.32,436.32,0.0999,3.87,0.28,8518,0.11,52.4,47.6,35-44,Non-binary,Employee,Low,Digital,Search Ad
2023-01-31,Microsoft,Espagne,7361320,40649094,462878,113233,21457826.13,2.91,0.0114,15.9,0.2446,12.46,189.5,0.1434,3.06,-0.69,59972,-0.51,10.6,89.4,18-24,Non-binary,Employee,High,Print,Email
2023-01-31,Microsoft,Italie,5284512,77911732,2237087,175303,64946384.51,12.29,0.0287,2.36,0.0784,18.39,370.48,0.0873,4.83,-0.76,35116,-0.68,7.3,92.7,55-64,Female,Unemployed,Low,TV,Banner
2023-01-31,Microsoft,Brésil,1252387,14753920,1333378,215044,11401104.34,9.1,0.0904,0.94,0.1613,5.4,53.02,0.1068,4.42,0.1,39058,0.26,50.9,49.1,65+,Non-binary,Employee,Middle,Outdoor,Banner
2023-01-31,Microsoft,Australie,2046124,40466170,3247257,354548,89371372.45,43.68,0.0802,0.63,0.1092,13.15,252.07,0.092,3.74,0.61,73305,0.46,75.8,24.200000000000003,18-24,Female,Unemployed,High,Social Media,Search Ad
2023-01-31,Microsoft,Japon,6901998,114141572,9498546,650058,316231404.21,45.82,0.0832,0.73,0.0684,169.82,486.47,0.0785,4.36,-0.31,73260,-0.25,20.4,79.6,25-34,Female,Retired,Low,TV,Search Ad
2023-01-31,Pepsi,USA,2577173,24642588,502385,142518,17170730.68,6.66,0.0204,5.13,0.2837,5.6,120.48,0.1363,4.69,-0.5,84238,-0.32,15.9,84.1,65+,Female,Retired,High,TV,Search Ad
2023-01-31,Pepsi,France,2839240,39400493,2370389,219972,69510171.9,24.48,0.0602,1.2,0.0928,13.67,315.99,0.1295,4.13,0.65,4718,0.48,80.4,19.599999999999994,55-64,Female,Employee,High,Social Media,Search Ad
2023-01-31,Pepsi,Allemagne,518113,6461164,417265,51080,24455374.72,47.2,0.0646,1.24,0.1224,1.58,478.76,0.0518,4.61,-0.19,60446,-0.36,21.5,78.5,45-54,Female,Unemployed,Middle,Digital,Sponsored Post
2023-01-31,Pepsi,UK,2420360,23450232,1717599,401145,173206910.48,71.56,0.0732,1.41,0.2335,6.91,431.78,0.037,3.74,0.12,42827,0.02,31.4,68.6,45-54,Male,Employee,Low,TV,Sponsored Post
2023-01-31,Pepsi,Canada,6454964,115947018,5185475,1507269,681485330.46,105.58,0.0447,1.24,0.2907,41.46,452.13,0.1414,4.44,-0.62,21885,-0.62,14.4,85.6,45-54,Female,Unemployed,Low,TV,Email
2023-01-31,Pepsi,Espagne,8489950,100677729,2805809,549478,18595723.43,2.19,0.0279,3.03,0.1958,41.77,33.84,0.0843,4.76,0.31,62680,0.22,33.0,67.0,18-24,Female,Employee,Middle,Print,Email
2023-01-31,Pepsi,Italie,6149410,34920260,344313,65575,12304438.07,2.0,0.0099,17.86,0.1905,14.13,187.64,0.0296,4.01,0.53,37663,0.66,62.1,37.9,55-64,Male,Employee,Low,Social Media,Sponsored Post
2023-01-31,Pepsi,Brésil,5698907,76180011,3026830,260509,79509350.69,13.95,0.0397,1.88,0.0861,22.29,305.21,0.085,3.09,-0.73,44652,-0.61,10.3,89.7,25-34,Non-binary,Retired,Low,Print,Search Ad
2023-01-31,Pepsi,Australie,5354047,39820888,3946588,926776,145156243.52,27.11,0.0991,1.36,0.2348,13.87,156.62,0.086,4.02,-0.02,74783,-0.1,44.5,55.5,35-44,Female,Student,Middle,Outdoor,Sponsored Post
2023-01-31,Pepsi,Japon,457065,6377722,192769,41232,20051877.44,43.87,0.0302,2.37,0.2139,1.3,486.31,0.0951,4.44,0.17,23349,0.18,50.3,49.7,45-54,Male,Employee,Low,Outdoor,Video
2023-01-31,Adidas,USA,3210829,16966214,590437,51874,18070249.45,5.63,0.0348,5.44,0.0879,4.86,348.35,0.0852,4.22,-0.06,97447,0.03,40.1,59.9,55-64,Male,Retired,Middle,Social Media,Search Ad
2023-01-31,Adidas,France,6332070,61460901,1318479,366578,65155704.13,10.29,0.0215,4.8,0.278,20.34,177.74,0.1079,4.74,0.36,91873,0.27,50.5,49.5,25-34,Female,Retired,Middle,Digital,Sponsored Post
2023-01-31,Adidas,Allemagne,4858684,75666783,5340016,919821,225451728.35,46.4,0.0706,0.91,0.1723,15.92,245.1,0.1414,4.59,-0.45,16974,-0.42,21.2,78.8,45-54,Female,Employee,Middle,TV,Sponsored Post
2023-01-31,Adidas,UK,1335893,13620033,640492,73087,17888003.4,13.39,0.047,2.09,0.1141,7.8,244.75,0.1276,3.54,0.12,36601,-0.03,45.2,54.8,55-64,Male,Employee,Low,Outdoor,Banner
2023-01-31,Adidas,Canada,3916349,22665347,1003250,230084,13636448.04,3.48,0.0443,3.9,0.2293,18.84,59.27,0.0207,4.1,0.86,54334,0.92,87.5,12.5,45-54,Female,Employee,Middle,Print,Sponsored Post
2023-01-31,Adidas,Espagne,1002583,18667147,251983,48767,13275634.46,13.24,0.0135,3.98,0.1935,51.44,272.22,0.1387,3.35,0.76,24040,0.93,45.6,54.4,45-54,Female,Employee,High,Print,Video
